,immu,immu_origin
"Scedosporium_inflatum_9042007:Scedosporium inflatum
",none,"immunocompetent im immunocompetent individual immunocompet immuno immunocom immu immunocompetent individual. pulmonary tuberculosis pulmonary tuberculosis an immunocompetent . Invasive pulmonary pseudallescheriasis associated with tuberculosis is an unusual finding, especially in an immunocompetent with pulmonary tuberculosis with pulmonary 54-year-old woman with pulmonary tuberculosis individual woman with pulmonary tuberculosis 54-year-old woman with pulmonary woman with pulmonary"
"Scedosporium_inflatum_9279332:Scedosporium inflatum
",抑制,"immunocompromised im immunocompromised hosts immunocompromised hosts, particularly those with neutropenia immunocompromised hosts, particularly those with ne immunocompromised hosts, particularly those with surgery, and rapidly fatal disseminated infection in immunocompromised trauma or surgery, and rapidly fatal disseminated infection in immunocompromised or surgery, and rapidly fatal disseminated infection in immunocompromised hematologic malignancy neutropenia malignancy hematologic underlying hematologic malignancy hematologic ma hematologic malignancy (14 with neutropenia immunocompromised hosts, hem ne hematologic maligna"
"Scedosporium_inflatum_9762808:Scedosporium inflatum
",none,"arthritis rheumatoid arthritis hospitalized , rheumatoid arthritis female was hospitalized 69 yr old female was hospitalized a history of tuberculous pleurisy, rheumatoid arthritis female 69 yr old female arthritis and gold-induced gold rheumatoid arthritis and gold hospital arthritis and 69 rheumatoid arthritis and female was hospital 69 yr old female was hospital 69 yr yr old female was hospitalized"
"Scedosporium_prolificans_10030078:Scedosporium prolificans
",抑制,allogeneic BMT allogeneic BMT from his HLA identical sister HLA identical sister bone marrow transplantation BMT allogeneic BMT from his H H allogeneic BMT from his HLA identical HLA identical allogeneic transplantation: report of a case.ABSTRACT:A forty-year-old man underwent an allogeneic BMT BMT from his HLA identical sister. an allogeneic BMT transplantation bone marrow transplant allogeneic B transplantation: BMT from his HLA identical sister underwent an allogeneic BMT all
"Scedosporium_prolificans_10959662:Scedosporium prolificans
",抑制,HIV infection HIV infection HIV infection.ABSTRACT:A 29-y-old woman from Congo patient with HIV infection HIV infection.ABSTRACT:A 29-y-old woman from with HIV infection patient with HIV HIV infection.ABSTRACT:A 29-y-old woman with HIV HIV infection.ABSTRACT:A 29 HIV infection.ABSTRACT:A 29-y-old woman from Congo Democratic Republic patient HIV infection.ABSTRACT:A 29-y-old HIV infection.ABSTRACT:A 29-y-old woman from Congo Democratic HIV infection.ABSTRACT:A 29-y-old woman from Congo Democratic Republic was HIV infection.ABSTRACT:A 29- HIV infection.ABSTRACT:A 29-y- infection.ABSTRACT:A 29-y-old woman from Congo HIV infection.ABSTRACT:A 29-y-old woman from Congo Democratic Republic was admitted to
"Scedosporium_prolificans_11747789:Scedosporium prolificans
",none,immunocompetent leukemic patients with neutropenia and two immunocompetent immunocompetent hosts neutropenia and two immunocompetent im leukemic leukemic patients with neutropenia and two immunocompetent hosts leukemic patients with neutropenia leukemic patients leukemic patients with neutropenia and two im le immunocompet patients with neutropenia and two immunocompetent neutropenia and two immunocompetent hosts immunocom neutropenic immuno neutropenia immu neutropenia and two im
"Scedosporium_prolificans_12490804:Scedosporium prolificans
",抑制,immunocompromised heart transplant recipient im immunocompromised individuals recipient these immunocompromised transplant recipient heart heart transplant heart transplant recipient.ABSTRACT:BACKGROUND: The most common fungi that cause invasive infection in transplant recipients heart transplant recipient.ABSTRACT:BACKGROUND: The most common fungi that cause invasive infection in transplant transplant transplant recipient.ABSTRACT:BACKGROUND: The most common fungi that cause invasive infection in transplant recipients immunocomp recipient.ABSTRACT:BACKGROUND: The most common fungi that cause invasive infection in transplant recipients immunocom immuno immu transplant recipients postoperative sternal wound infection and pneumonia caused by in a heart transplant recipient
"Scedosporium_prolificans_12688361:Scedosporium prolificans
",抑制,acute myelogenous leukemia acute myelogenous leukemia which had developed from myelodysplastic syndrome acute leukemia acute myelogenous leukemia which had developed from myelodysplastic hematologic malignancy acute myelogenous leukemia.ABSTRACT:A 62-year-old man diagnosed with acute myelogenous leukemia acute myelogenous leukemia.ABSTRACT:A 62-year-old man diagnosed with acute myelogenous leukemia acute myelogenous le acute myelogenous leuke leukemia.ABSTRACT:A myelodysplastic syndrome leukemia which had developed from myelodysplastic syndrome acute myelogenous leukemia.ABSTRACT:A 62-year-old man diagnosed with with acute myelogenous leukemia acute myelogenous leukemia.ABSTRACT:A 62-year-old man diagnosed with acute myelogenous malignancy myelogenous leukemia which had developed from myelodysplastic syndrome
"Scedosporium_prolificans_14515403:Scedosporium prolificans
",抑制,AML therapy AML therapy and bone marrow transplantation bone marrow transplantation therapy therapy and bone marrow transplantation AM AML AML therapy and bone marrow transplant bone marrow transplant transplantation AML therapy and bone transplantation.ABSTRACT: bone therapy and bone marrow transplant AML therapy and bone marrow transplantation.ABSTRACT: AML therapy and bone marrow bone marrow AML therapy and therapy and bone transplant
"Scedosporium_prolificans_14622392:Scedosporium prolificans
",none,German 72-year-old German German woman old German year-old German -old German 72 a 72-year-old German -year-old German 72-year-old German woman We report on a case of scedosporiosis in a 72-year-old German 72-year-old old German woman on a case of scedosporiosis in a 72-year-old German woman German woman. Her disease started with a purulent ulceration of unknown course at German woman. Her disease started with a purulent ulceration of unknown course at her left German woman. Her year-old German woman old
"Scedosporium_prolificans_18411765:Scedosporium prolificans
",抑制,immunosuppressive immunosuppressive agents corticosteroids and immunosuppressive immunosuppressive agents for acutely exacerbated interstitial pneumonia im treated with corticosteroids and immunosuppressive corticosteroids and immunosuppressive agents with corticosteroids and immunosuppressive immunosuppressive agents for acute treated with corticosteroids and immunosuppressive agents immunosuppressive agents for agents with corticosteroids and immunosuppressive agents corticosteroids immunosuppressive agents for acutely exacerbated interstitial immunosuppressive agents for acutely exacerbated and immunosuppressive immunos corticosteroids and immunosuppressive agents for acutely exacerbated interstitial pneumonia immunosup
"Scedosporium_prolificans_18473538:Scedosporium prolificans
",抑制,acute leukaemia acute leukemia acute leukaemia with acute leukaemia acute le leukemia leukemia.ABSTRACT:Scedosporium acute leuka with acute acute leuke patient with acute leukaemia with with acute leukemia acute leukaemia who developed a S. prolificans pneumonia successfully treated with liposomal amphotericin B and who underwent auto haematological malignancies patient with acute le haematological patient with
"Scedosporium_prolificans_19672782:Scedosporium prolificans
",抑制,immunocompromised immunosuppression immunocompromised patients immunosuppress profound immunosuppression im profound profound immunosuppress patients immunosuppression. profound im immunocompromised patients. immunosup immunos immunocom haematological malignancies immunocomp allogeneic haematopoietic stem cell transplantation (AHSCT). Two patients with haematological malignancies of profound immunosuppression immuno
"Scedosporium_prolificans_21059516:Scedosporium prolificans
",抑制,"immunocompetent immunocompromised immunocompetent patient immunocompromised patients. However, they are now emerging in the immunocompetent previously healthy im healthy previously immunocompromised patients immunocompromised patients. However, they are now emerging in the im immunocompet immuno patient immunocom immu previously healthy 33-year-old male previously healthy 33 previously healthy 33-year-old male admitted healthy 33-year-old male healthy 33"
"Scedosporium_prolificans_21963577:Scedosporium prolificans
",抑制,"immunocompetent immunocompromised immunosuppression immunocompetent hosts. Major underlying conditions for non-invasive pulmonary infection were preexisting lung cavities and medical im immunocompetent hosts immunosuppress immunocompetent hosts. Major underlying conditions for non-invasive pulmonary infection were preexisting lung cavities and medical im otherwise healthy immunocompromised patients healthy medical immunosuppression immunocompet immuno otherwise immunocom medical immunosuppress immunocompetent hosts. Major underlying conditions for non-invasive pulmonary infection were preexisting lung cavities and medical immu immu otherwise healthy patients, the infection is characterized by non-invasive type involvement, while invasive and/or disseminated infections were mostly seen in im"
"Scedosporium_prolificans_22032175:Scedosporium prolificans
",抑制,"immunocompromised immunocompromised patient im chronic lymphocytic leukemia myelodysplastic syndrome, in remission from chronic lymphocytic leukemia myelodysplastic syndrome patient remission from chronic lymphocytic leukemia syndrome, in remission from chronic lymphocytic leukemia myelodysplastic in remission from chronic lymphocytic leukemia syndrome chronic myelodysplastic syndrome, in remission leukemia, immunocompromised patient.ABSTRACT:Scedosporium with myelodysplastic syndrome, in remission from chronic lymphocytic leukemia immunocom immu myelodysplastic syndrome, in remission from chronic"
"Scedosporium_prolificans_22124953:Scedosporium prolificans
",none,immunocompetent immunocompetent patient im immunocompetent patient.ABSTRACT: patient immunocompet immuno immunocom immu immunocompetent patient. an immunocompetent hypersensitivity syndrome complicated by Scedosporium apiospermum pneumonia in an immunocompetent in an immunocompetent an immunocompetent patient hypersensitivity syndrome complicated by Scedosporium apiospermum pneumonia in an immunocompetent patient in an immunocompetent patient an im patient. hypersensitivity syndrome complicated by Scedosporium apiospermum pneumonia in an im in an im
"Scedosporium_prolificans_22167398:Scedosporium prolificans
",抑制,immunocompromised Severely immunocompromised immunocompromised patients im Severely immunocompromised patients immunocom Severely immunocomp immuno immu immunocomprom Severe Severely im patients Se Severely immunocom Severely immunocomp Severely immuno Severely immu Severely immunocomprom
"Scedosporium_prolificans_22335254:Scedosporium prolificans
",抑制,haematological malignancies transplant recipients and patients with haematological malignancies malignancies transplant recipients recipients and patients with haematological malignancies malignancies. haematological ma recipients humans haematological maligna transplant recipients and patients with haematological ma haematological ma haematological malignancies. transplant recipients and patients with haematological maligna transplant recipients and patients with haematological maligna transplant recipients and patients with haematological ma haemato
"Scedosporium_prolificans_22416481:Scedosporium prolificans
",none,myelodysplastic syndrome syndrome myelodysplastic my myelodysplastic syndrome (MD myelodysplastic syndrome ( myelodysplastic syndrome (MDS myelodysplastic syndrome (MDS) and agranulocytosis with myelodysplastic syndrome myelodysplastic syndrome (MDS) syndrome (MD syndrome ( syndrome (MDS MD syndrome (MDS) and agranulocytosis MDS myelo MDS) and agranulocytosis 83-year-old man with myelodysplastic syndrome with myelodysplastic
"Scedosporium_prolificans_23518310:Scedosporium prolificans
",抑制,"independent active independent active . independent life an active independent independent life with lung function (FEV1) above 50% to requiring transplantation active independent life independent life with lung function (FEV1) above 50% to requiring transplant independent life with lung function (FEV1) above 50% to requiring active independent life with lung function (FEV1) above 50% to requiring transplantation active independent life with lung function (FEV1) above 50% to requiring transplant active independent life with lung function (FEV1) above 50% to requiring fibrosis.ABSTRACT:This paper describes a patient whose decline over two years was precipitous, from an active independent an active from an active independent decline over two years was precipitous, from an active independent fibrosis.ABSTRACT:This an active independent life fibrosis.ABSTRACT:This paper describes a patient whose decline over two years was precipitous, from an active"
"Scedosporium_prolificans_23908944:Scedosporium prolificans
",none,"tsunami survivors tsunami survivors tsunami lung, but are reported causative agents for pneumonia after near-drowning. , 90% of victims died from drowning. We report on two tsunami survivors of victims died from drowning. We report on two tsunami survivors 90% of victims died from drowning. We report on two tsunami survivors We report on two tsunami survivors died from drowning. We report on two tsunami survivors the Great East Japan Earthquake and tsunami, 90% of victims died from drowning. We report on two tsunami survivors on two tsunami survivors tsunami, 90% of victims died from drowning. We report on two tsunami survivors . These pathogens are not specific for tsunami Great East Japan Earthquake and tsunami, 90% of victims died from drowning. We report on two tsunami survivors Earthquake and tsunami, 90% of victims died from drowning. We report on two tsunami survivors two tsunami survivors , 90% of victims died from drowning. We report on two tsunami of victims died from drowning. We report on two tsunami 90% of victims died from drowning. We report on two tsunami We report on two tsunami"
"Scedosporium_prolificans_24238227:Scedosporium prolificans
",none,"tsunami tsunami lung lung survivor this case report, we describe a potential refractory multidrug-resistant infection following a tsunami this case report, we describe a potential refractory multidrug-resistant infection following a tsunami disaster. we describe a potential refractory multidrug-resistant infection following a tsunami tsunami disaster. . this case report, we describe a potential refractory multidrug-resistant infection following a tsunami disaster we describe a potential refractory multidrug-resistant infection following a tsunami disaster. tsunami disaster we describe a potential refractory multidrug-resistant infection following a tsunami disaster a tsunami tsunami lung wherein Scedosporium aurantiacum was detected in the respiratory tract. A magnetic resonance image of the patient survivor of a tsunami tsunami lung wherein Scedosporium aurantiacum was detected in the respiratory tract. A magnetic resonance image of the patient's a tsunami disaster. East Japan Earthquake on March 11, 2011 developed systemic disorders owing to aspiration pneumonia. Herein, we report a case of tsunami survivor of a tsunami in Japan.ABSTRACT:Many"
"Scedosporium_prolificans_24962102:Scedosporium prolificans
",抑制,immunosuppression induction immunosuppression immunosuppress induction immunosuppress induction im induction im immunos immunosup induction immunos immu induction immunosup received induction immunosuppression immunosuppression and 74% received prior antifungal therapy immunosuppression and 74% received immunosuppression and immunosuppression and 74% received prior solid organ transplantation have been performed in the era of induction immunosuppression induction immu solid organ transplant recipients
"Scedosporium_prolificans_25308027:Scedosporium prolificans
",抑制,immunocompetent immunocompetent patient im immunocompetent individual immunocompetent and immunosuppressed immunosuppressed immunocompet immunocompetent and im immunocompetent and immunosuppressed patients immunocom patient immuno immunosuppressed patients immu immunocompetent individual.ABSTRACT:Scedosporium immunocompetent individual. immunocompetent and immunosup immunocompetent and immunos immunosup immunos
"Scedosporium_prolificans_25639881:Scedosporium prolificans
",抑制,"solid organ transplantation, probably transmitted from the nearly-drowned donor. One heart transplant recipient heart transplant recipient solid organ transplantation, probably transmitted from the nearly-drowned donor. One heart transplant recipient and two kidney transplant recipients recipient kidney transplant recipients heart transplant recipient and two kidney transplant recipients solid organ transplantation recipient and two kidney transplant recipients solid organ transplantation, probably transmitted from the nearly-drowned donor. One heart transplant recipient and two kidney transplant recipient solid organ transplantation, probably transmitted from the nearly-drowned donor. One heart solid kidney heart transplant recipient and two kidney solid organ transplantation, probably transmitted from the nearly-drowned donor. One heart transplant heart transplantation, probably transmitted from the nearly-drowned donor. One heart transplant recipient organ transplantation, probably transmitted from the nearly-drowned donor. One heart transplant recipient heart transplant transplant recipient and two kidney transplant recipients"
"Scedosporium_prolificans_28762125:Scedosporium prolificans
",抑制,"enabling enabling an adequate prevention, diagnosis and treatment. hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling . fibrosis Fibrosis.ABSTRACT:Cystic fibrosis existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling Fibrosis.ABSTRACT:Cystic hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to the hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling hope existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to enabling an adequate prevention, diagnosis and treatment. Cystic fibrosis Cystic Fibrosis.ABSTRACT:Cystic fibrosis Cystic Fibrosis CF enabling an adequate existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to the hope of therapeutic alternatives to existing drugs. Identifying relevant risk factors and diagnostic criteria for fungal colonization and infection is crucial to CF) is a chronic lethal multi-system"
"Scedosporium_prolificans_29094263:Scedosporium prolificans
",none,"elderly patients who were 68- and 87 87 elderly 68- and 87 elderly patients who were 68 were 68- and 87 elderly patients elderly patients who were 68- and 87-year-old elderly patients who were 68- and 87-year 87-year-old elderly patients who were 87-year CF patients, but only very rarely from respiratory specimens from non-CF patients and 87 elderly patients who - and 87 these elderly patients who were 68- and 87 non-CF patients who were 68- and 87 patients who were 68- and 87"
"Scedosporium_prolificans_30283549:Scedosporium prolificans
",none,"successfully been successfully successfully resuscitated successfully re who had been successfully successfully resusci been successfully resuscitated resuscitated been been successfully re re who had been successfully resuscitated successfully resuscitated after near-drowning, presented with a transient episode of mental who had been successfully resuscitated after near-drowning had been successfully been successfully resusci successfully resuscitated after resusci who"
"Scedosporium_prolificans_30297214:Scedosporium prolificans
",抑制,CF CF and to study the antimycotic treatment. In this multicentre study (12 centres; duration CF and to study the antimycotic treatment. In this multicentre study (12 CF and to study the antimycotic treatment. In this CF and to study the antimycotic treatment. In this multicentre study (12 centres; duration January 2008 to December 2014) 31 patients CF and to study the antimycotic treatment. In this multicentre study (12 centres; duration January 2008 to December 2014) CF and to study the antimycotic treatment. In this multicentre study (12 centres CF and to study the antimycotic treatment. In this multicentre study (12 centres; CF and to study the antimycotic treatment. In CF and to study the antimycotic treatment. CF and to study the antimycotic treatment. In this multicentre study CF and to cystic fibrosis CF and to study the antimycotic treatment. In this multicentre study (12 centres; duration January 2008 to CF and to study the antimycotic treatment. In this multicentre study (12 centres; duration January 2008 to December 2014) 31 duration fibrosis.ABSTRACT:Cystic fibrosis cystic fibrosis.ABSTRACT:Cystic data
"Scedosporium_prolificans_33084474:Scedosporium prolificans
",none,lung transplant recipient recipient transplant recipient lung transplant lung transplant lung transplant recipients lung transplant recipient who experienced dementia-like symptoms almost recipient who experienced dementia-like symptoms almost We describe a lung transplant recipient transplant recipients describe a lung transplant recipient recipients lung transplant recipient who experienced dementia-like symptoms almost 3 years after commencing a lung transplant recipient intravenous (IV) and modified-release tablet formulations. This is supported by post-marketing experience. We describe a lung transplant recipient lung transplant recipient who transplant recipient who experienced dementia-like symptoms almost lung transplant recipient who experienced lung transplant recipient who experienced dementia
"Scedosporium_prolificans_33315292:Scedosporium prolificans
",none,LTx recipients LTx) recipients lung transplant patients transplant patients LTx patients LTx lung transplant (LTx) recipients recipients lung transplant L lung transplant (LTx transplant patients LTx patients over a 24-year period (1995-2019 (LTx) recipients. transplant (LTx) recipients lung lung transplant (L LT (LTx)
"Scedosporium_prolificans_33318800:Scedosporium prolificans
",none,"without patient with NTM but without NTM but without without tuberculosis patient with NTM with NTM but without NTM patient 67 67-year-old man but without with NTM as we are aware, this is the first reported case of S. apiospermum lung disease in a patient with NTM but without As far as we are aware, this is the first reported case of S. apiospermum lung disease in a patient with NTM but without a patient with NTM but without we are aware, this is the first reported case of S. apiospermum lung disease in a patient with NTM but without far as we are aware, this is the first reported case of S. apiospermum lung disease in a patient with NTM but without without tuberculosis. patient with NTM but without tuberculosis as we are aware, this is the first reported case of S. apiospermum lung disease in a patient with NTM"
"Scedosporium_prolificans_33323661:Scedosporium prolificans
",none,immune alteration immune immune alter no history of underlying lung disease or immune alteration alteration. underlying lung disease or immune alteration disease or immune alteration lung disease or immune alteration alteration or immune alteration no history of underlying lung disease or immune no history of underlying lung disease no history of underlying lung disease or immune alter underlying lung disease or immune underlying lung disease disease or immune disease lung disease or immune lung disease underlying lung disease or immune alter
"Scedosporium_prolificans_33392858:Scedosporium prolificans
",抑制,immunocompromised im immunocompromised hosts immunocompromised hosts. Colonization of S. aurantiacum can also occur in patients with underlying lung diseases immunocomp immunocom immuno immu immunocompromised hosts. Colonization of S. aurantiacum can also occur in patients with underlying lung diseases such immunocompromised hosts. Colonization of S. aurantiacum can also occur in patients with underlying immunocompromised hosts. immunocompromised hosts. Colonization of S. aurantiacum can also occur in patients with underlying lung diseases such as cystic fibrosis. . important for appropriate selection of antifungal agents and improvement of treatment outcomes. hosts fibrosis. cystic fibrosis hosts. Colonization of S. aurantiacum can also occur in patients with underlying lung diseases such as cystic fibrosis important for appropriate selection of antifungal agents and underlying lung diseases such as cystic fibrosis
"Scedosporium_prolificans_33527651:Scedosporium prolificans
",none,Heart Transplant Recipient heart transplant recipient Recipient: Recipient Transplant Recipient: recipient transplant recipient Heart Transplant heart transplant Heart Transplant Re Transplant Recipient Transplant heart transplant Re Heart solid organ transplant (SOT) recipients Heart Transplant Recipie H HT
"Scedosporium_prolificans_33707042:Scedosporium prolificans
",抑制,"immunocompromised immunocompromised patients im immunocomp immunocom immuno immunocomprom immu immunocompromised patients, even if CT scans and sputum culture show no evidence of infection. inspection including bronchoscopy should be performed for the diagnosis of Scedosporium infection in immunocompromised pulmonary hypertension hypertension in immunocompromised transplantation pulmonary hypertension. One year after surgery, he was treated with a series of augmented immunosuppressive pulmonary hypertension. One year after surgery, he was treated with a series of augmented immunosuppressive therapy immunosuppressive hypertension. One year after surgery, he was treated with a series of augmented immunosuppressive immunosuppressive therapy hypertension. One year after surgery, he was treated with a series of augmented immunosuppressive therapy"
"Scedosporium_prolificans_33834145:Scedosporium prolificans
",抑制,"immunosuppressive immunosuppressive hosts. Herein, we present the case of an immunosuppressive im immunosuppressive 54 immunosuppressive hosts. Herein, we present the case of an im malignant lung adenocarcinoma immunosuppressive 54 - year-old immunosuppressive hosts. Herein, we present the case of an immunosuppressive 54 immunosuppressive hosts immunosup immunos malignant ma immu immunosuppressive hosts. Herein, we present the case of an immunosuppressive 54 - year-old hosts. Herein, we present the case of an immunosuppressive immunosuppressive hosts. Herein, we present the case of an immunosup malignant lung immunosuppressive hosts. Herein, we present the case of an immunos immunosuppressive hosts. Herein, we present the case of an immu"
"Scedosporium_prolificans_33923333:Scedosporium prolificans
",抑制,"immunosuppression immunosuppress im immunosuppression and severe critical illness immunosup immunosuppression and severe critical immunos immunosuppression and severe with immunosuppression hematological malignancy hematological malignancy or cancer cancer malignancy malignancy or cancer malignancy or cancer, hematological ma medical hem with immunosuppress hematological"
"Scedosporium_prolificans_34097886:Scedosporium prolificans
",none,Near-Drowning Near-Drowning Episode.ABSTRACT: Drowning Episode -Drowning Near-Drowning Episode Drowning Episode -Drowning Episode Episode. Near-Dr Near-Drowning Episode. Dr Drowning Episode. -Dr -Drowning Episode.
"Scedosporium_prolificans_34386675:Scedosporium prolificans
",none,Kidney Transplant Recipient Recipient.ABSTRACT: Kidney Transplant Recipient.ABSTRACT: Recipient Transplant Recipient.ABSTRACT: Kidney Transplant Kidney Transplant Re Transplant Recipient Kidney Re Transplant Kid Kidney Transplant Recipie Kidney Transplant Reci Transplant Re Kidney Transp Kidney Trans Recipie Reci Transplant Recipie
"Scedosporium_prolificans_34513465:Scedosporium prolificans
",抑制,immunocompromised immunocompetent immunocompromised host and localized pulmonary infection in immunocompetent Immunocompetent im immunocompromised host and localized pulmonary infection in im immunocompromised host immunocompetent ones immunocompromised host and localized pulmonary infection in immunocompetent ones I immunocompetent individuals immunocompetent individuals without preformed cavities if they have bronchiectasis immunocom elderly immuno immunocompromised host and localized pulmonary infection in immunocom immunocompromised host and localized pulmonary infection in immuno immu host and localized pulmonary infection in immunocompetent immunocompet
"Scedosporium_prolificans_34535388:Scedosporium prolificans
",抑制,"cystic fibrosis CF Adult patients fibrosis Adult fibrosis: cystic fibrosis (CF CF) cystic fibrosis: fibrosis (CF), Adult patients from two CF cystic fibrosis (CF) Adult patients from Adult patients from two CF units of tertiary patients Adult patients from two CF units Adult patients from two controls. Adult patients with cystic fibrosis eight"
"Scedosporium_prolificans_34570289:Scedosporium prolificans
",抑制,cystic fi fi patients c patients with cystic patients with cystic fi with with cystic fi patients with c patients with cystic cys cystic fibrosis. with c with cystic . invaluable resource to understand the genetic bases of pathogenesis in the genus Scedosporium. patients with cys an invaluable resource to understand the genetic bases of pathogenesis in the genus Scedosporium. with cys
"Scedosporium_prolificans_34628284:Scedosporium prolificans
",抑制,transplantation lung transplantation patients who underwent lung transplantation patients transplant lung transplant transplantation.ABSTRACT:INTRODUCTION: patients who underwent lung transplant lung who underwent lung transplantation lung transplantation.ABSTRACT:INTRODUCTION: Granulomatous infections are common in patients with chronic lung disease undergoing lung transplantation transplantation since 2015 underwent lung transplantation lung transplantation since 2015 patients who underwent lung chronic lung disease: Outcomes in patients undergoing lung transplantation patients undergoing lung transplantation disease: Outcomes in patients undergoing lung transplantation transplantation.ABSTRACT:INTRODUCTION: Granulomatous infections are common in patients with chronic lung disease.
"Scedosporium_prolificans_34642117:Scedosporium prolificans
",none,lung transplant recipients transplant recipients recipients LT recipients lung transplant L transplant LT recipients and underlines the risk of breakthrough infections in patients with allograft dysfunction LT lung LT were performed. Positive cultures for Sc/Lp were obtained from twenty-one LT recipients LT recipients and underlines the risk of breakthrough infections in patients with allograft d recipients and underlines the risk of breakthrough infections in patients with allograft dysfunction allograft dysfunction LT recipients at a tertiary care hospital with a national reference 395 LT were performed. Positive cultures for Sc/Lp were obtained from twenty-one LT recipients LT recipients and underlines the risk of breakthrough infections in patients with allograft LT recipients at a tertiary care hospital with a national dysfunction LT recipients at a tertiary care hospital with a national reference LT program
"Scedosporium_prolificans_34829210:Scedosporium prolificans
",抑制,immunocompromised severely immunocompromised immunocompromised patients im immunocompromised patients show that SARS-CoV-2 is capable of stunning severely immunocompromised patients severely severely im severely immunocompromised patients show that SARS-CoV-2 is capable of stunning immunocompromised patients show that SARS-CoV-2 is capable of stunning the host immune system immunocomp immunocom immunocompromised patients show that SARS-CoV-2 is capable of stunning the host immunocompromised patients show that SARS-CoV-2 is capable of stunning the host immune immuno immu immunocompromised patients show that SARS-CoV-2 is capable of stunning the immunocomprom severely immunocompromised patients show that SARS-CoV-2 is capable of stunning the host immune system severely immunocomp
"Scedosporium_prolificans_8199569:Scedosporium prolificans
",抑制,acute leukemia acute intensive chemotherapy for acute leukemia leukemia intensive chemotherapy intensive chemotherapy for acute acute leuke acute le chemotherapy for acute leukemia intensive chemotherapy chemotherapy for acute for acute leukemia intensive chemotherapy for acute leuke intensive chemotherapy for acute le leuke le acute leukemia and were later submitted for BMT intensive chemotherapy for intensive ch
"Scedosporium_prolificans_8389611:Scedosporium prolificans
",none,. with itraconazole: case report with with itraconazole: case report. .ABSTR with itraconazole: with itraconazole: case with itraconazole: case report.ABSTR report.ABSTRACT:
"Scedosporium_prolificans_8874080:Scedosporium prolificans
",抑制,"bone marrow transplantation autologous bone marrow transplantation BMT, bone marrow transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation autologous bone marrow transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation BMT transplantation.ABSTRACT:Although transplantation transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation bone marrow transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation (BMT autologous bone marrow transplantation.ABSTRACT:Although autologous bone marrow transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation (BMT bone marrow transplantation (BMT marrow transplantation.ABSTRACT:Although autologous transplantation (BMT) marrow transplantation transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation (BMT) marrow transplantation.ABSTRACT:Although opportunistic infections after bone marrow transplantation bone marrow transplant"
"Scedosporium_prolificans_9042007:Scedosporium prolificans
",none,immunocompetent im immunocompetent individual immunocompet immuno immunocom immu pulmonary tuberculosis pulmonary highly tuberculosis highly exposed an immunocompetent with pulmonary tuberculosis immunocompetent individual. exposed with pulmonary individual 54-year-old woman with pulmonary tuberculosis was highly
"Scedosporium_prolificans_9279332:Scedosporium prolificans
",抑制,"immunocompromised im immunocompromised hosts immunocompromised hosts, particularly those with neutropenia immunocompromised hosts, particularly those with ne immunocompromised hosts, particularly those with immunocompromised hosts, particularly those immunocom immunos immunosup neutropenia hematologic malignancy immu hematologic immunocompromised hosts, ne malignancy hosts immunocompromised hosts, particularly those with neutropenia. hematologic ma"
"Scedosporium_prolificans_9762808:Scedosporium prolificans
",none,"rheumatoid arthritis arthritis hospitalized , rheumatoid arthritis a history of tuberculous pleurisy, rheumatoid arthritis hospital 69 yr old female was hospitalized female was hospitalized of tuberculous pleurisy, rheumatoid arthritis had a history of tuberculous pleurisy, rheumatoid arthritis hospitalized for further examination of abnormal shadows on chest radiographs. She had a history of tuberculous pleurisy, hospitalized for further examination of abnormal shadows on chest radiographs. She had a rheumatoid arthritis and gold rheumatoid arthritis and 69 yr old female arthritis and gold-induced female arthritis and 69 yr old female was hospital female was hospital"
"Schizophyllum_14708555:Schizophyllum
",none,"Insurance Social Insurance Insurance Tagawa Insurance Tagawa Hospital, We describe the first known Japanese patient with chronic eosinophilic pneumonia caused by Schizophyllum commune. The patient presented to Social Insurance Insurance Tag Insurance Tagawa Hospital, Fukuoka, Insurance Tagawa Hospital, Fukuoka, Japan with cough, wheezing, dyspnoea, and fever. to Social Insurance The patient presented to Social Insurance known Japanese patient with chronic eosinophilic pneumonia caused by Schizophyllum commune. The patient presented to Social Insurance patient presented to Social Insurance Antibodies Insurance Tagawa Hospital, Fukuoka, Japan Insurance Tagawa Hospital . The patient presented to Social Insurance first known Japanese patient with chronic eosinophilic pneumonia caused by Schizophyllum commune. The patient presented to Social Insurance Antibodies to this organism were present in the serum, confirming that S. commune was the cause of chronic eosinophilic pneumonia. Social Insurance Tagawa Social Insurance Tagawa Hospital,"
